CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-ORURO,JACHAJAKISASOLFESORC
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000781,8,112,68
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000791,9,101,75
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000801,10,131,72
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000811,11,112,70
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000821,12,51,44
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003141,1,114,68
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003151,2,93,93
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003161,3,93,81
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003171,4,109,77
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003181,5,112,67
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003191,6,88,86
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003201,7,101,81
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003211,8,101,79
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003221,9,101,83
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003231,10,121,68
1,Cercado,1,Oruro,2059,Oruro,98,Facultad de Medicina,4003241,11,71,66
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003331,1,84,100
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003341,2,86,100
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003351,3,98,91
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003361,4,106,79
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003371,5,89,87
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003381,6,84,103
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003391,7,88,90
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003401,8,90,97
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003411,9,69,116
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003421,10,98,83
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003431,11,19,32
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005491,1,109,73
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005501,2,104,68
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005511,3,101,63
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005521,4,109,67
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005531,5,113,68
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005541,6,110,65
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005551,7,126,56
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005561,8,100,56
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005571,1,106,66
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005581,2,124,56
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005591,3,104,73
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005601,4,122,61
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005611,5,109,63
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005621,6,114,62
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005631,7,112,61
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005641,8,118,66
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005651,9,97,83
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005661,10,113,63
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005671,11,110,65
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005681,12,118,69
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005691,13,108,74
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005701,14,51,34
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003601,1,109,71
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003611,2,113,76
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003621,3,98,83
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003631,4,94,83
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003641,5,95,81
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003651,6,103,68
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003661,7,122,72
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003671,8,107,85
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003681,9,107,71
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003691,10,101,72
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003701,11,61,60
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001231,1,122,69
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001241,2,112,75
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001251,3,105,74
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001261,4,105,62
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001271,5,105,89
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001281,6,108,79
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001291,7,98,83
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001301,8,108,63
1,Cercado,1,Oruro,2059,Oruro,103,U. E. Jose Maria Sierra Galvarro,4001311,9,99,78
