CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,NGP,FRI,CHR,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003957,21,37,33,3,18,7,4,8,19,,,12,37,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003967,22,24,23,5,10,4,6,4,11,,,5,11,5
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001147,1,36,54,6,25,2,12,3,12,,,2,17,11
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001157,2,42,44,7,32,2,4,9,15,,,2,14,12
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001167,3,35,57,4,29,6,4,6,23,,,6,16,9
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001177,4,36,50,0,30,6,7,12,13,,,2,17,14
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001187,5,18,17,1,14,5,2,3,6,,,1,6,9
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000707,1,55,45,5,29,4,4,5,19,,,3,13,11
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000717,2,36,40,9,33,4,12,9,19,,,5,16,15
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000727,3,42,42,9,30,1,8,5,20,,,3,11,11
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000737,4,48,33,5,30,3,10,6,27,,,5,19,11
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000747,5,44,31,7,32,2,8,14,18,,,6,14,15
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000757,6,40,27,5,30,2,10,8,20,,,2,20,13
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000767,7,37,27,3,20,3,6,5,17,,,8,11,20
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000777,1,28,50,5,25,6,5,3,23,,,8,21,14
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000787,2,31,56,7,23,4,8,3,18,,,3,12,18
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000797,3,33,45,5,30,4,9,4,18,,,6,18,13
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000807,4,49,35,2,24,4,9,3,17,,,2,18,14
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000817,5,15,17,2,6,1,2,2,4,,,1,7,5
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007897,1,56,21,5,13,8,11,4,29,,,7,17,7
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007907,2,51,46,6,19,9,6,6,21,,,3,23,6
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007917,3,53,27,3,25,8,11,6,19,,,6,12,10
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007927,4,52,29,2,20,4,12,9,30,,,5,23,5
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007937,5,57,23,8,20,7,14,8,28,,,2,19,8
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007947,6,52,38,5,22,6,14,10,20,,,3,16,5
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007957,7,49,34,10,15,7,9,5,31,,,2,26,1
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007967,8,32,19,3,22,1,5,2,14,,,3,5,4
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009417,1,42,46,4,21,1,4,14,31,,,7,19,8
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009427,2,38,42,3,20,9,5,22,25,,,5,12,6
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009437,3,38,53,7,15,4,5,10,27,,,5,16,13
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009447,4,40,42,6,18,10,7,8,30,,,6,20,11
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009457,5,42,26,8,20,10,10,10,17,,,8,22,6
