CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008111,8,77,86
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008121,9,67,76
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008131,10,66,89
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008141,11,68,81
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008151,12,65,107
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008161,13,56,90
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008171,14,80,94
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008181,15,87,89
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008191,16,90,77
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008201,17,84,92
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008211,18,77,77
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008221,19,50,61
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005851,1,89,85
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005861,2,101,87
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005871,3,108,84
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005881,4,79,77
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005891,5,108,70
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005901,6,95,78
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005911,7,85,98
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005921,8,110,81
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005931,9,97,83
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005941,10,87,98
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005951,11,80,96
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005961,12,96,74
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005971,13,81,93
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005981,14,86,82
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005991,15,85,88
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006001,16,96,91
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006011,17,96,95
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006021,18,100,82
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006031,19,97,82
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006041,20,90,101
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006051,21,82,104
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006061,22,95,89
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006071,23,107,76
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006081,24,47,51
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002941,1,96,92
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002951,2,95,90
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002961,3,100,84
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002971,4,94,84
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002981,5,102,70
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002991,6,84,84
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003001,7,96,81
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003011,8,89,101
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003021,9,99,79
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003031,10,82,101
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003041,11,100,78
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003051,12,93,72
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003061,13,84,89
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003071,14,105,72
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003081,15,77,105
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003091,16,120,71
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003101,17,93,94
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003111,18,88,94
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003121,19,91,85
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003131,20,82,103
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003141,21,102,84
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003151,22,100,83
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003161,23,86,94
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003171,24,94,86
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003181,25,28,35
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002721,1,89,82
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002731,2,86,95
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002741,3,87,81
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002751,4,94,83
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002761,5,74,94
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002771,6,86,77
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002781,7,82,81
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002791,8,100,87
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002801,9,92,79
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002811,10,89,82
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002821,11,91,85
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002831,12,78,90
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002841,13,83,79
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002851,14,79,82
