CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,FAU,CCGT
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002967,13,7,0,39,9,,92,0,26,,3,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002977,14,10,0,33,7,,85,0,27,,2,,,,6,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002987,15,6,0,34,2,,88,0,39,,4,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002997,16,1,0,33,6,,101,0,29,,3,,,,5,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003007,17,12,0,42,4,,81,0,26,,0,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003017,18,8,0,26,5,,88,0,37,,2,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003027,19,4,0,18,2,,36,0,11,,3,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002327,1,15,0,30,5,,102,0,28,,1,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002337,2,18,0,27,2,,98,0,38,,1,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002347,3,14,0,26,5,,88,0,32,,1,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002357,4,12,0,27,6,,83,0,27,,3,,,,9,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002367,5,11,0,26,5,,94,0,29,,6,,,,5,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002377,6,9,0,23,4,,92,0,32,,3,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002387,7,18,0,32,4,,81,0,43,,2,,,,8,,
