CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000111,2,4,13,32,9,0,4,5,1,10,72
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000121,3,4,19,28,12,4,1,3,3,7,74
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000131,4,4,12,23,20,3,10,2,0,15,63
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000141,5,9,10,26,22,0,5,2,2,14,61
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000151,6,4,9,29,14,1,9,7,4,13,62
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000161,7,1,22,32,11,6,2,9,4,6,71
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000171,8,3,15,30,14,1,7,4,3,11,51
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000181,9,2,18,37,16,5,6,4,3,10,70
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000191,10,6,16,36,14,5,8,3,5,14,48
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000201,11,2,15,25,16,0,5,6,5,8,67
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000211,12,3,13,23,22,4,3,1,3,11,58
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000221,13,2,17,24,10,4,4,3,5,13,70
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000231,14,1,14,20,10,2,1,5,1,21,61
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000241,15,2,9,27,22,2,9,2,1,11,56
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000251,16,5,10,28,16,2,7,8,8,15,70
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000261,17,4,16,12,5,5,5,3,0,9,49
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017481,1,3,21,33,13,2,4,2,2,0,61
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017491,2,2,9,26,10,5,7,4,0,7,59
1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,3017501,3,4,11,33,9,1,6,4,3,8,60
