CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,CDC
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005081,11,50,138
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005091,12,47,140
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005101,13,49,134
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005111,14,43,150
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005121,15,55,135
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005131,16,49,142
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005141,17,56,121
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005151,18,53,133
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005161,19,48,137
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005171,20,53,134
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005181,21,62,140
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005191,22,33,163
1,Cercado,1,Tarija,2680,Tarija,73,U.E. Octavio Campero Echazu,6005201,23,47,124
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005491,1,46,154
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005501,2,74,126
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005511,3,46,148
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005521,4,58,134
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005531,5,39,158
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005541,6,48,156
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005551,7,51,142
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005561,8,72,130
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005571,9,56,87
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001521,1,56,145
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001531,2,59,138
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001541,3,82,114
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001551,4,65,132
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001561,5,52,133
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001571,6,51,134
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001581,7,66,122
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001591,8,67,130
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001601,9,71,136
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001611,10,55,142
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001621,11,58,135
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001631,12,71,122
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001641,13,62,121
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001651,14,59,131
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001661,15,61,132
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001671,16,62,125
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001681,17,71,128
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001691,18,58,132
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001701,19,56,126
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001711,20,66,130
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001721,21,66,125
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001731,22,58,131
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001741,23,61,139
