CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,PATRIA-UNIDOS,A.S.,MNR,NGP,APP,LIBRE,DEMOCRATAS,A-UPP,APB-SUMATE,UN,CAOP,PDC
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005341,7,2,48,90,1,8,36,2,3,1,3,2,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005351,8,1,41,102,4,3,40,8,0,0,3,1,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005361,9,1,55,88,3,1,46,6,1,4,3,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005371,10,3,42,85,6,1,47,3,0,3,9,3,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005381,11,2,56,73,2,3,49,5,1,1,3,4,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005391,12,3,44,94,2,4,51,3,2,1,2,1,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005401,13,1,39,81,9,2,56,4,0,2,3,0,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005411,14,4,36,96,7,3,46,5,0,0,3,2,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005421,15,1,41,105,4,1,26,4,0,3,1,0,6,4
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005431,16,2,55,74,6,3,47,3,1,2,5,0,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005441,17,0,56,95,0,1,41,6,0,1,0,1,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005451,18,2,43,80,3,5,37,7,1,4,1,1,8,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005461,19,1,52,72,7,2,53,4,2,1,4,4,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005471,20,1,61,76,6,5,40,5,0,4,5,2,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005481,21,2,47,74,1,5,47,7,1,1,1,1,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001101,1,1,57,73,1,1,36,6,2,0,3,2,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001111,2,1,47,80,5,1,42,5,0,3,3,4,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001121,3,6,52,62,6,1,65,2,0,2,2,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001131,4,7,46,66,7,1,56,5,0,2,5,2,1,2
