CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AIR,PATRIA,NGP,MTS,MATE,T,ISA,APB-SUMATE,SOMOSCHACO,PDC,UNIR
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010956,2,7,25,5,15,3,4,15,4,7,18,8
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010966,3,16,33,3,15,8,13,5,3,5,9,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010976,4,20,30,4,17,6,6,8,2,7,12,6
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010986,5,11,25,3,14,9,11,10,2,6,19,0
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6010996,6,17,35,3,17,9,11,5,4,1,9,3
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6011006,7,12,26,4,17,7,9,3,1,9,12,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,24,U.E. Oliverio Pelichelli,6011016,8,5,8,0,5,3,3,4,1,1,5,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25706,U.E. Campo Grande A,6012606,1,8,21,1,11,9,3,5,1,9,5,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25706,U.E. Campo Grande A,6012616,2,6,20,3,15,9,2,6,2,4,7,11
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25706,U.E. Campo Grande A,6012626,3,10,24,2,20,9,3,6,0,11,6,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25706,U.E. Campo Grande A,6012636,4,3,6,2,2,1,1,0,0,3,0,0
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25707,U.E. Bella Vista de Caipitandy,6012306,1,17,36,2,18,14,11,12,6,7,11,1
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25707,U.E. Bella Vista de Caipitandy,6012316,2,14,41,4,17,16,11,7,2,6,18,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25707,U.E. Bella Vista de Caipitandy,6012326,3,18,31,8,16,14,5,10,1,2,14,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25707,U.E. Bella Vista de Caipitandy,6012336,4,18,29,1,19,10,11,16,2,4,13,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25707,U.E. Bella Vista de Caipitandy,6012346,5,4,16,11,5,10,5,9,0,1,11,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25716,U.E. José Mariano Serrano,6011026,1,13,41,5,15,13,9,11,2,8,7,6
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25716,U.E. José Mariano Serrano,6011036,2,11,46,4,22,3,15,6,1,5,3,5
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25716,U.E. José Mariano Serrano,6011046,3,15,47,4,11,7,11,5,1,16,11,7
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25716,U.E. José Mariano Serrano,6011056,4,13,40,5,15,3,8,6,4,8,8,7
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25716,U.E. José Mariano Serrano,6011066,5,16,34,5,16,7,11,10,3,4,7,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25716,U.E. José Mariano Serrano,6011076,6,14,40,3,18,9,12,5,3,5,13,7
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,25716,U.E. José Mariano Serrano,6011086,7,30,30,2,23,9,7,6,3,5,7,6
