CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,NGP,APB-SUMATE,LIBRE,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002617,13,16,12,16,4,2,0,1,3,2,6,13,7,,,,,2,6,15,7,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002627,14,9,16,21,4,2,2,3,8,4,13,6,7,,,,,6,10,13,12,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002637,15,19,10,18,7,1,2,0,3,1,4,7,4,,,,,4,10,8,10,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002647,16,21,15,35,5,3,1,5,3,2,5,10,9,,,,,7,6,8,7,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002657,17,25,9,14,1,2,0,7,4,0,10,13,6,,,,,5,7,15,7,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002667,18,8,3,4,0,0,1,2,0,2,2,2,3,,,,,0,1,7,2,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001917,1,10,19,23,5,4,2,3,1,2,7,6,4,,,,,8,8,8,7,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001927,2,13,18,17,4,3,6,3,6,1,7,11,3,,,,,3,6,11,6,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001937,3,14,13,27,3,2,4,3,2,6,7,7,8,,,,,3,4,13,14,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001947,4,21,15,26,4,3,3,4,4,5,5,6,11,,,,,5,4,6,8,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001957,5,21,27,25,1,2,0,5,7,4,7,5,5,,,,,2,5,10,9,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001967,6,26,16,20,3,3,2,7,5,6,6,12,5,,,,,0,3,9,9,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001977,7,15,19,36,4,0,2,4,4,1,5,8,7,,,,,2,4,12,12,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001987,8,27,16,23,1,1,1,1,2,2,6,6,4,,,,,6,4,6,9,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001997,9,12,9,25,6,0,1,3,2,3,3,4,6,,,,,3,4,4,18,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002007,10,20,13,27,3,2,2,2,4,2,5,1,6,,,,,4,10,14,4,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002017,11,22,20,24,3,1,2,5,2,2,5,9,3,,,,,4,6,6,11,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002027,12,13,19,34,4,0,3,3,4,4,6,3,10,,,,,1,7,17,7,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002037,13,16,10,31,5,0,0,3,2,5,12,9,2,,,,,5,8,6,14,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002047,14,18,13,13,5,2,3,2,3,2,9,10,12,,,,,0,1,8,10,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002057,15,11,7,11,1,2,3,3,1,4,7,10,2,,,,,0,3,6,7,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001597,1,20,21,27,3,1,0,3,4,2,9,5,1,,,,,6,8,6,17,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001607,2,21,14,20,1,1,1,0,3,3,7,10,5,,,,,4,5,9,6,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001617,3,16,22,22,4,0,1,4,3,9,4,7,3,,,,,3,6,12,12,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001627,4,17,13,20,4,3,3,4,6,6,4,5,7,,,,,3,8,8,8,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001637,5,20,13,30,2,1,1,4,4,1,3,8,3,,,,,3,7,6,8,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001647,6,11,18,17,3,1,0,1,5,7,7,11,8,,,,,3,6,5,3,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001657,7,22,9,21,5,3,1,3,4,6,2,7,6,,,,,5,6,6,6,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001667,8,9,15,25,2,2,1,3,3,3,2,5,3,,,,,5,7,11,4,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001677,9,10,18,23,3,3,0,7,4,1,2,6,3,,,,,8,4,11,4,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001687,10,17,11,12,3,0,0,2,1,16,4,6,6,,,,,3,11,9,9,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002807,1,11,19,9,14,0,1,0,3,4,12,12,11,,,,,1,14,16,26,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002817,2,18,17,5,7,1,1,2,6,4,17,13,10,,,,,1,18,16,24,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002827,3,10,13,7,10,1,1,3,7,1,26,14,12,,,,,3,15,15,30,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002837,4,16,22,11,7,0,1,4,3,7,22,15,11,,,,,3,10,9,31,
