CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PDC,VENCEREMOS,JALLALLA LP,IH,PATRIA-SOL,MTS,FRI,SPBC,ASLP,APB-SUMATE,M.P.S.,A-UPP,UPC,ASP,VIDA,LIBRE,NGP
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013931,7,6,19,8,17,50,17,1,3,11,3,5,4,8,5,5,11,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013941,8,4,22,14,25,39,20,4,3,15,7,4,2,6,6,7,13,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013951,9,7,23,5,29,35,12,1,4,12,4,2,5,3,3,8,10,11
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013961,10,4,19,3,38,40,12,1,4,12,5,3,4,7,4,4,19,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013971,11,6,20,7,23,52,4,1,5,17,6,4,3,5,4,6,18,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013981,12,4,22,2,21,51,10,3,8,10,2,6,6,9,1,7,19,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013991,13,2,16,5,28,37,9,1,11,16,4,7,9,3,13,4,4,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014001,14,2,23,8,23,37,20,1,3,20,9,1,2,4,4,5,15,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014011,15,2,21,2,28,41,11,5,4,15,5,6,1,3,1,7,21,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014021,16,3,8,6,33,51,8,0,3,15,9,7,4,5,2,7,16,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014031,17,5,14,5,31,50,7,2,4,19,3,2,1,12,6,4,6,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014041,18,4,20,4,30,52,11,0,8,10,9,3,2,5,1,5,15,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014051,19,1,8,8,34,40,13,5,3,15,5,1,2,14,2,2,10,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014061,20,2,16,8,29,34,11,0,4,20,3,4,5,6,1,7,11,12
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014071,21,5,23,14,28,31,10,0,4,21,4,4,1,7,5,7,12,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014081,22,6,21,11,27,43,11,4,2,11,9,7,0,5,3,7,16,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014091,23,3,26,2,35,44,11,2,4,19,5,2,3,3,4,5,8,21
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014101,24,4,21,4,43,41,14,5,3,17,5,6,3,6,10,3,8,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014111,25,6,20,5,26,40,11,4,3,17,6,2,4,3,1,5,10,11
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014121,26,1,17,6,25,46,7,1,6,17,4,2,3,3,6,9,17,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014131,27,3,22,8,30,39,5,1,3,21,4,4,2,4,3,9,8,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014141,28,5,17,4,35,24,19,2,7,13,12,4,0,10,1,8,12,11
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014151,29,1,17,2,26,40,14,5,4,18,5,2,0,7,4,6,17,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014161,30,2,17,6,25,47,17,3,4,22,3,1,1,5,3,5,15,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014171,31,3,20,10,25,42,14,2,5,17,4,3,3,8,4,4,14,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014181,32,1,19,4,27,45,9,2,6,21,3,4,2,3,3,0,19,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014191,33,4,7,4,26,47,12,5,9,22,6,2,3,7,3,9,20,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014201,34,2,23,3,26,56,9,2,8,13,6,4,2,4,5,6,16,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014211,35,2,20,3,37,51,11,4,5,19,4,9,5,4,0,3,11,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014221,36,6,7,8,39,47,13,2,2,18,4,5,5,10,5,7,8,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014231,37,1,0,2,8,11,5,1,1,4,0,0,0,0,0,1,0,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,205,U. E. Sergio Suarez Figueroa,2013381,1,7,9,9,23,51,12,2,5,23,6,3,2,3,8,12,11,3
